name,game,release,version,filename,filesize,md5,sha1,crc32
SIGIL,Doom,SIGIL Buckethead Music Compatible,release,SIGIL_SHREDS_COMPAT.wad,162146269,343faa815928c58faa08939a4502d5d2,42a5034d76a4effb4a26194dbb90d6ee859e8374,8524DF67
SIGIL II,Doom II,SIGIL II,1.0,SIGIL_II_V1_0.WAD,5632323,d0442f5a75f2faef3405c09a0c3acc58,ad2c6e8367afbeef74e9e09b6b1e4da88c0576b4,D210DB36
SIGIL II,Doom II,SIGIL II,KEX,sigil2.wad,42333362,953f65cf079d0ba9a25be2c407da7ec1,3ed0ae536fe39b3a6363c4ca500e86aa244d4359,B0C5F16A
SIGIL II,Doom II,SIGIL II THORR Music,1.0,SIGIL_II_MP3_V1_0.WAD,146563690,732fb8f9c470e857189c206a9279af74,f3d9362ab8ff2796c5772071e06a8e6817fcf4be,A5B88587
Heretic,Heretic,shareware beta (wide area beta),1.0,HERETIC1.WAD,4095992,fc7eab659f6ee522bb57acc1a946912f,e3d56700ecc3fefbd19cafba5bac3b115120d465,864AB894
Heretic,Heretic,shareware,1.0,HERETIC1.WAD,5120300,023b52175d2f260c3bdc5528df5d0a8c,5ef073366e5ca523b26a529e843f05c4907c23a4,884A3E45
Heretic,Heretic,shareware,1.2,HERETIC1.WAD,5120920,ae779722390ec32fa37b0d361f7d82f8,b4c50ca9bea07f7c35250a1a11906091971c05ae,22D3F0CA
Heretic,Heretic,registered,1.0,HERETIC.WAD,11096488,3117e399cdb4298eaa3941625f4b2923,b5a6cc79cde48d97905b44282e82c4c966a23a87,77482D1E
Heretic,Heretic,registered,1.2,HERETIC.WAD,11095516,1e4cb4ef075ad344dd63971637307e04,a54c5d30629976a649119c5ce8babae2ddfb1a60,54759180
Heretic,Heretic,Shadow of the Serpent Riders,1.3,HERETIC.WAD,14189976,66d686b1ed6d35ff103f15dbd30e0341,f489d479371df32f6d280a0cb23b59a35ba2b833,5B16049E
Hexen,Hexen,demo beta,unnumbered,HEXEN.WAD,10615976,9178a32a496ff5befebfe6c47dac106c,f1015d659329733a237c00f2c6208243fa95e2f7,C0E5A448
Hexen,Hexen,demo,1.0,HEXEN.WAD,10644136,876a5a44c7b68f04b3bb9bc7a5bd69d6,fa89a2475855e43c7f7e3198d6e4c4bee23bfab9,77CD26C4
Hexen,Hexen,registered beta,unnumbered,HEXEN.WAD,20428208,c88a2bb3d783e2ad7b599a8e301e099e,ae797f5fdce845be24a7a24dd5bfc3e762a17bbe,5185684A
Hexen,Hexen,registered,1.0,HEXEN.WAD,20128392,b2543a03521365261d0a0f74d5dd90f0,ac129c4331bf26f0f080c4a56aaa40d64969c98a,EECE0236
Hexen,Hexen,registered,1.1,HEXEN.WAD,20083672,abb033caf81e26f12a2103e1fa25453f,4b53832f0733c1e29e5f1de2428e5475e891af29,DCA9114C
Hexen,Hexen,Macintosh,1.1-based,HEXEN.WAD,21078584,b68140a796f6fd7f3a5d3226a32b93be,4343fbe5aef905ef6d077a1517a50c919e5cc906,D6379951
Hexen,Hexen,Macintosh demo,1.0,HEXEN.WAD,13596228,925f9f5000e17dc84b0a6a3bed3a6f31,c2338e52c06c3a4925b9a9fb2c720252fe917c08,8929DBFA
Hexen,Hexen,Heretic + Hexen remaster,2.1,HEXEN.WAD,26668322,a66ae0448436a990b3aecd018bc2708a,a2ee5bc0ac7d9249d8570dc2ee85dd74d2f29936,614F74F9
Hexen,Hexen,Heretic + Hexen remaster,2.2,HEXEN.WAD,26795155,1ac69f8f51de55452bf853831c017aec,0b0bdcf11ac69439ea4e410a003c80f7f6befd98,8F9978CD
Hexen,Hexen,Heretic + Hexen remaster,2.3,HEXEN.WAD,26897845,ff3f090163719f8ecb1060886027dcd4,14590df66990c1143582733335c50df0556be487,C1C1F7C7
Hexen: Deathkings of the Dark Citadel,Hexen,expansion,1.0,HEXDD.WAD,4429700,1077432e2690d390c256ac908b5f4efa,c3065527d62b05a930fe75fe8181a64fb1982976,0C20539A
Hexen: Deathkings of the Dark Citadel,Hexen,expansion,1.1,HEXDD.WAD,4440584,78d5898e99e220e4de64edaa0e479593,081f6a2024643b54ef4a436a85508539b6d20a1e,FD5EB11D
Hexen: Deathkings of the Dark Citadel,Hexen,Heretic + Hexen remaster,2.1,HEXDD.WAD,4639055,2bb0f56ab1f98000990524c1b67e8759,a20c58783cb082b3af1102631176d704061df320,E8D6C938
Hexen: Deathkings of the Dark Citadel,Hexen,Heretic + Hexen remaster,2.2,HEXDD.WAD,4639098,c078b329f53378044b8fc28d60db8e51,daf55c6606e1229de6e244acecf4c0ee7ee93e0b,84448F38
Chex Quest,Chex Quest,retail,1996-10-31,CHEX.WAD,12361532,25485721882b050afa96a56e5758dd52,eca9cff1014ce5081804e193588d96c6ddb35432,298DD5B5
Chex Quest,Chex Quest,Macintosh prototype,1996-10-28,DOOM.WAD,14588480,f428a9a226f143a01b5782af611a83dd,8451c11659b482a2688d206172e45d74180af7d0,84948986
Chex Quest 2,Chex Quest,retail,1997,CHEX2.WAD,7585664,fdc4ffa57e1983e30912c006284a3e01,d5b970834b8ff364d377ef04eb7d12fa6035e10a,30AAB11E
Chex Quest 3,Chex Quest,fan release,1.0,CHEX3.WAD,9348448,59c985995db55cd2623c1893550d82b3,100fd7b4dec9dd299d7756cc3a6a419a94264926,A6A5BF06
Chex Quest 3,Chex Quest,fan release,1.4,CHEX3.WAD,19191031,bce163d06521f9d15f9686786e64df13,f0581563604543060c1dce2f148fd74412adb8b8,34AA2168
